,playerID,stint,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
0,newsobo01,39.0,211.0,222.0,600.0,483.0,246.0,31.0,21.0,3769.0,1664.0,206.0,1732.0,2082.0,0.2651724137931034,3.9836850505408767,0.0,60.0,61.0,7.0,16467.0,71.0,1908.0,0.0,0.0,0.0,3759.3333333333326
1,kaatji01,31.0,283.0,237.0,898.0,625.0,180.0,31.0,18.0,4620.0,1738.0,395.0,1083.0,2461.0,0.2721428571428572,3.452726068721948,116.0,128.0,122.0,6.0,19021.0,102.0,2038.0,0.0,0.0,0.0,4530.333333333334
2,johnto01,30.0,288.0,231.0,760.0,700.0,162.0,46.0,4.0,4783.0,1749.0,302.0,1259.0,2245.0,0.2675,3.341801712546882,102.0,187.0,98.0,16.0,19692.0,22.0,2017.0,0.0,0.0,0.0,4710.333333333334
3,ryanno01,27.0,324.0,292.0,807.0,773.0,222.0,61.0,3.0,3923.0,1911.0,321.0,2795.0,5714.0,0.20444444444444446,3.1932788711474194,78.0,277.0,158.0,33.0,22575.0,13.0,2178.0,0.0,0.0,0.0,5386.0
4,moyerja01,29.0,269.0,209.0,696.0,638.0,33.0,10.0,0.0,4231.0,1926.0,522.0,1155.0,2441.0,0.25846153846153846,4.254786450662739,69.0,57.0,146.0,12.0,17356.0,15.0,2076.0,73.0,61.0,0.0,4074.0
5,carltst01,31.0,329.0,244.0,741.0,709.0,254.0,55.0,2.0,4672.0,1864.0,414.0,1833.0,4136.0,0.2507407407407407,3.215435727063634,150.0,183.0,53.0,90.0,21683.0,13.0,2130.0,0.0,0.0,0.0,5217.333333333333
6,oroscje01,29.0,87.0,80.0,1252.0,4.0,0.0,0.0,144.0,1055.0,455.0,113.0,581.0,1179.0,0.21612000000000006,3.161348430262481,86.0,40.0,34.0,11.0,5460.0,501.0,512.0,2.0,6.0,0.0,1295.3333333333333
7,houghch01,27.0,216.0,216.0,858.0,440.0,107.0,13.0,61.0,3283.0,1582.0,383.0,1665.0,2362.0,0.22538461538461535,3.7455278849526485,44.0,179.0,174.0,42.0,16170.0,240.0,1807.0,0.0,0.0,0.0,3801.333333333333
8,mulhote01,32.0,124.0,142.0,685.0,332.0,46.0,10.0,5.0,2833.0,1262.0,293.0,681.0,1325.0,0.2676,4.4097321081920535,65.0,64.0,70.0,3.0,11060.0,128.0,1396.0,27.0,24.0,0.0,2575.666666666667
9,weathda01,34.0,73.0,88.0,964.0,69.0,0.0,0.0,75.0,1432.0,650.0,133.0,604.0,976.0,0.25879166666666664,4.2504238314361835,78.0,41.0,57.0,6.0,6071.0,304.0,711.0,55.0,23.0,0.0,1376.3333333333333
10,niekrph01,29.0,318.0,274.0,864.0,716.0,245.0,45.0,29.0,5044.0,2012.0,482.0,1809.0,3342.0,0.25269230769230766,3.3506445445013258,86.0,226.0,123.0,42.0,22677.0,83.0,2337.0,0.0,0.0,0.0,5404.333333333334
11,wilheho01,31.0,143.0,122.0,1070.0,52.0,20.0,5.0,227.0,1757.0,632.0,150.0,778.0,1610.0,0.21384615384615382,2.523140618068904,61.0,90.0,62.0,4.0,9164.0,651.0,773.0,0.0,0.0,0.0,2254.3333333333335
12,perryga01,28.0,314.0,265.0,777.0,690.0,303.0,53.0,11.0,4938.0,1846.0,399.0,1379.0,3534.0,0.2504,3.105227088654912,164.0,160.0,108.0,6.0,21953.0,33.0,2128.0,0.0,0.0,0.0,5350.333333333334
13,eckerde01,26.0,197.0,171.0,1071.0,361.0,100.0,20.0,390.0,3076.0,1278.0,347.0,738.0,2401.0,0.23500000000000001,3.5006594298468094,91.0,28.0,75.0,16.0,13534.0,577.0,1382.0,0.0,0.0,0.0,3285.6666666666665
14,suttodo01,27.0,324.0,256.0,774.0,756.0,178.0,58.0,5.0,4692.0,1914.0,472.0,1343.0,3574.0,0.2336,3.2610588754969396,102.0,112.0,82.0,21.0,21631.0,12.0,2104.0,0.0,0.0,0.0,5282.333333333333
